都道府県,総数-事件,総数-患者,総数-死者,魚介類-総数-事件,魚介類-総数-患者,魚介類-総数-死者,貝類-事件,貝類-患者,貝類-死者,ふぐ-事件,ふぐ-患者,ふぐ-事件,魚介類-その他-事件,魚介類-その他-患者,魚介類-その他-死者,魚介類加工品-ぞ件,魚介類加工品-患者,魚介類加工品-死者,魚介類加工品-魚肉練り製品-事件,魚肉練り製品-患者,魚肉練り製品-死者,魚介類加工品-その他-事件,魚介類加工品-その他-患者,魚介類加工品-その他-死者,肉類及びその加工品-事件,肉類及びその加工品-患者,肉類及びその加工品-死者,卵類及びその加工品-事件,卵類及びその加工品-患者,卵類及びその加工品-死者,乳類及びその加工品-事件,乳類及びその加工品-患者,乳類及びその加工品-死者,穀類及びその加工品-事件,穀類及びその加工品-患者,穀類及びその加工品-死者,野菜及びその加工品-総数-事件,野菜及びその加工品-総数-患者,野菜及びその加工品-総数-死者,豆類-事件,豆類-患者,豆類-死者,きのこ類-事件,きのこ類-患者,きのこ類-死者,野菜及びその加工品-その他-事件,野菜及びその加工品-その他-患者,野菜及びその加工品-その他-死者,菓子類-事件,菓子類-患者,菓子類-死者,複合調理食品-事件,複合調理食品-患者,複合調理食品-死者,その他-総数-事件,その他-総数-患者,その他-総数-死者,その他-食品特定-事件,その他-食品特定-患者,その他-食品特定-死者,その他-食事特定-事件,その他-食事特定-患者,その他-食事特定-死者,不明-事件,不明-患者,不明-死者
全国,1037,14229,3,264,1044,-,17,347,-,10,10,-,237,687,-,8,102,-,-,-,-,8,102,-,24,227,-,-,-,-,-,-,-,2,22,-,39,157,3,1,17,-,19,48,1,19,92,2,4,104,-,43,1696,-,480,10470,-,33,652,-,447,9818,-,173,407,-
北海道,87,595,2,3,4,-,1,1,-,-,-,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,2,-,-,-,1,2,-,1,2,2,-,-,-,-,-,-,17,514,-,-,-,-,17,514,-,65,73,-
青森県,6,82,-,1,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,81,-,-,-,-,5,81,-,-,-,-
岩手県,9,39,-,6,7,-,-,-,-,-,-,-,6,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,1,29,-,-,-,-,1,29,-,1,1,-
宮城県,21,290,-,9,9,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,8,-,-,-,-,1,3,-,2,5,-,-,-,-,1,11,-,6,97,-,-,-,-,6,97,-,2,165,-
秋田県,2,6,-,2,6,-,1,5,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
山形県,13,62,-,2,2,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,2,3,-,-,-,-,-,-,-,2,3,-,-,-,-,1,20,-,3,31,-,-,-,-,3,31,-,4,4,-
福島県,49,270,-,11,121,-,-,-,-,-,-,-,11,121,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,6,-,-,-,-,1,2,-,3,4,-,-,-,-,2,16,-,5,98,-,-,-,-,5,98,-,27,29,-
茨城県,15,89,-,3,18,-,-,-,-,-,-,-,3,18,-,-,-,-,-,-,-,-,-,-,6,20,-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-,1,5,-,-,-,-,-,-,-,2,36,-,1,7,-,-,-,-,1,7,-,2,3,-
栃木県,14,152,-,4,4,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,148,-,5,86,-,5,62,-,-,-,-
群馬県,12,401,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,1,8,-,-,-,-,-,-,-,-,-,-,2,3,-,-,-,-,1,1,-,1,2,-,1,42,-,1,30,-,6,317,-,1,76,-,5,241,-,-,-,-
埼玉県,16,343,-,3,33,-,1,31,-,-,-,-,2,2,-,1,9,-,-,-,-,1,9,-,-,-,-,-,-,-,-,-,-,1,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,108,-,8,179,-,-,-,-,8,179,-,1,1,-
千葉県,26,373,-,4,64,-,1,49,-,-,-,-,3,15,-,-,-,-,-,-,-,-,-,-,6,74,-,-,-,-,-,-,-,1,9,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,4,80,-,9,141,-,-,-,-,9,141,-,1,4,-
東京都,114,1536,-,37,174,-,5,106,-,-,-,-,32,68,-,-,-,-,-,-,-,-,-,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,48,-,69,1292,-,7,74,-,62,1218,-,5,16,-
神奈川県,84,951,-,26,33,-,1,7,-,1,1,-,24,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,6,72,-,42,833,-,1,162,-,41,671,-,9,12,-
新潟県,22,240,-,3,27,-,-,-,-,-,-,-,3,27,-,2,19,-,-,-,-,2,19,-,1,18,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,2,2,-,1,1,-,-,-,-,2,35,-,6,133,-,1,2,-,5,131,-,5,5,-
