"第2表食中毒事件・患者・死者数,病因物質・都道府県－保健所設置市及び特別区（再掲）別  都道府県名等 全国    2024年",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,ウイルス,,,ウイルス,,,ウイルス,,,寄生虫,,,寄生虫,,,寄生虫,,,寄生虫,,,寄生虫,,,化学物質,,,自然毒,,,自然毒,,,自然毒,,,その他,,,不明,,
,,,,総数,,,サルモネラ属菌,,,ぶどう球菌,,,ボツリヌス菌,,,腸炎ビブリオ,,,腸管出血性大腸菌（ＶＴ産生）,,,その他の病原大腸菌,,,ウエルシュ菌,,,セレウス菌,,,エルシニア・エンテロコリチカ,,,カンピロバクター・ジェジュニ／コリ,,,ナグビブリオ,,,コレラ菌,,,赤痢菌,,,チフス菌,,,パラチフスＡ菌,,,その他の細菌,,,総数,,,ノロウイルス,,,その他のウイルス,,,総数,,,クドア,,,サルコシスティス,,,アニサキス,,,その他の寄生虫,,,化学物質,,,総数,,,植物性自然毒,,,動物性自然毒,,,,,,,,
,総数-事件,総数-患者,総数-死者,細菌-総数-事件,細菌-総数-患者,細菌-総数-死者,サルモネラ菌-事件,サルモネラ菌-患者,サルモネラ菌-死者,ぶどう球菌-事件,ぶどう球菌-患者,ぶどう球菌-死者,ボツリヌス菌-事故,ボツリヌス菌-患者,ボツリヌス菌-死者,腸炎ビブリオ-事件,腸炎ビブリオ-患者,腸炎ビブリオ-死者,腸管出血性大腸菌（ＶＴ産生）-事件,腸管出血性大腸菌（ＶＴ産生）-患者,腸管出血性大腸菌（ＶＴ産生）-死者,その他の病原大腸菌-事件,その他の病原大腸菌-患者,その他の病原大腸菌-死者,ウエルシュ菌-事件,ウエルシュ菌-患者,ウエルシュ菌-死者,セレウス菌-事件,セレウス菌-患者,セレウス菌-死者,エルシニア・エンテロコリチカ-z事件,エルシニア・エンテロコリチカ-患者,エルシニア・エンテロコリチカ-死者,カンピロバクター・ジェジュニ／コリ-事件,カンピロバクター・ジェジュニ／コリ-患者,カンピロバクター・ジェジュニ／コリ-死者,ナグビブリオ-事件,ナグビブリオ-患者,ナグビブリオ-死者,コレラ菌-事件,コレラ菌-患者,コレラ菌-死者,赤痢菌-事件,赤痢菌-患者,赤痢菌-死者,チフス菌-事件,チフス菌-患者,チフス菌-死者,パラチフスＡ菌-事件,パラチフスＡ菌-患者,パラチフスＡ菌-死者,その他の細菌-事件,その他の細菌-患者,その他の細菌-死者,ウイルス-総数-事件,ウイルス-総数-患者,ウイルス-総数-死者,ノロウイルス-事件,ノロウイルス-患者,ノロウイルス-死者,その他のウイルス-事件,その他のウイルス-患者,その他のウイルス-死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者
全国,1037,14229,3,320,4369,-,21,384,-,21,610,-,1,4,-,1,1,-,16,124,-,5,105,-,43,1889,-,2,40,-,-,-,-,208,1199,-,-,-,-,-,-,-,1,12,-,-,-,-,-,-,-,1,1,-,277,8685,-,276,8656,-,1,29,-,355,694,-,23,245,-,-,-,-,330,337,-,2,112,-,10,137,-,57,111,3,41,93,3,16,18,-,4,36,-,14,197,-
北海道,87,595,2,9,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,475,-,11,475,-,-,-,-,62,66,-,-,-,-,-,-,-,62,66,-,-,-,-,-,-,-,5,11,2,4,10,2,1,1,-,-,-,-,-,-,-
青森県,6,82,-,4,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,59,-,1,59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,1,-,-,-,-,-,-,-
岩手県,9,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,29,-,-,-,-,1,29,-,7,8,-,-,-,-,-,-,-,7,8,-,-,-,-,-,-,-,1,2,-,1,2,-,-,-,-,-,-,-,-,-,-
宮城県,21,290,-,5,189,-,-,-,-,1,11,-,-,-,-,-,-,-,-,-,-,-,-,-,1,164,-,-,-,-,-,-,-,3,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,83,-,3,83,-,-,-,-,9,9,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,3,8,-,3,8,-,-,-,-,1,1,-,-,-,-
秋田県,2,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,1,5,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
山形県,13,62,-,4,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,47,-,3,47,-,-,-,-,4,4,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,2,3,-,2,3,-,-,-,-,-,-,-,-,-,-
福島県,49,270,-,3,13,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,2,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,104,-,5,104,-,-,-,-,37,147,-,-,-,-,-,-,-,36,36,-,1,111,-,-,-,-,4,6,-,4,6,-,-,-,-,-,-,-,-,-,-
