"第3表食中毒事件・患者・死者数,原因施設・都道府県－保健所設置市及び特別区（再掲）別  都道府県名等 全国    2024年",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,,,家庭,,,事業場,,,事業場,,,事業場,,,事業場,,,事業場,,,事業場,,,学校,,,学校,,,学校,,,学校,,,学校,,,学校,,,学校,,,学校,,,学校,,,病院,,,病院,,,病院,,,病院,,,旅館,,,飲食店,,,販売店,,,製造所,,,仕出屋,,,採取場所,,,その他,,,不明,,
,,,,,,,総数,,,給食施設,,,給食施設,,,給食施設,,,寄宿舎,,,その他,,,総数,,,給食施設,,,給食施設,,,給食施設,,,給食施設,,,給食施設,,,給食施設,,,寄宿舎,,,その他,,,総数,,,給食施設,,,寄宿舎,,,その他,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,事業所等,,,保育所,,,老人ホーム,,,,,,,,,,,,単独調理場,,,単独調理場,,,単独調理場,,,単独調理場,,,共同調理場,,,その他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,幼稚園,,,小学校,,,中学校,,,その他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者
全国,1037,14229,3,108,168,2,46,1310,1,8,329,-,2,58,-,29,768,-,3,44,1,4,111,-,11,366,-,2,85,-,3,56,-,-,-,-,-,-,-,1,47,-,-,-,-,2,154,-,3,24,-,6,200,-,6,200,-,-,-,-,-,-,-,28,855,-,548,8656,-,42,56,-,12,726,-,31,1268,-,-,-,-,13,184,-,192,440,-
北海道,87,595,2,7,14,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,30,-,11,375,-,-,-,-,-,-,-,1,68,-,-,-,-,2,35,-,65,73,-
青森県,6,82,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
岩手県,9,39,-,4,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,1,29,-,-,-,-,-,-,-,2,2,-
宮城県,21,290,-,4,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,112,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,2,165,-
秋田県,2,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
